#label             cross_section_[pb]   uncertainty_[pb]
5x100/minQ2=1000   0.42915853420000005  0.0035123523380000002
5x100/minQ2=100    781.1886062          5.486592102
5x100/minQ2=10     30483.698840000005   242.280793
5x100/minQ2=1      485787.5062          4155.631868
5x41/minQ2=100     286.29725640000004   1.956851546
5x41/minQ2=10      20293.027980000003   155.0764588
5x41/minQ2=1       399420.0926          3360.881972
10x100/minQ2=1000  6.822075812          0.049582933339999996
10x100/minQ2=100   1342.749804          9.76274795
10x100/minQ2=10    40084.313            327.4233486
10x100/minQ2=1     557086.2957999998    4857.36624
10x275/minQ2=1000  42.15937558          0.29291001660000004
10x275/minQ2=100   2496.49607           18.84474964
10x275/minQ2=10    56990.02746000001    480.42817940000003
10x275/minQ2=1     668831.0399999999    5832.076224000001
18x275/minQ2=1000  79.32809218          0.5584943224
18x275/minQ2=100   3370.8563259999996   26.07411164
18x275/minQ2=10    69344.44322          583.68594
18x275/minQ2=1     743626.5223999999    6482.414292
