Q2	x	z	ALL_lower	ALL	ALL_upper
1.000000000000000000e+00	1.000000000000000048e-04	2.000000000000000111e-01	-1.165300000000000016e-02	-5.294300000000000048e-03	-2.329499999999999973e-03
1.049900000000000055e+00	1.000000000000000048e-04	2.000000000000000111e-01	-1.114799999999999992e-02	-4.985100000000000121e-03	-2.322100000000000119e-03
1.866900000000000004e+00	1.000000000000000048e-04	2.000000000000000111e-01	-7.255400000000000391e-03	-2.951500000000000130e-03	-1.443800000000000075e-03
3.319900000000000073e+00	1.000000000000000048e-04	2.000000000000000111e-01	-6.321700000000000409e-03	-2.950899999999999791e-03	-6.110700000000000159e-04
5.903800000000000381e+00	1.000000000000000048e-04	2.000000000000000111e-01	-5.603000000000000341e-03	-2.514000000000000175e-03	-1.752099999999999979e-04
1.049900000000000055e+01	1.000000000000000048e-04	2.000000000000000111e-01	-4.604099999999999859e-03	-2.632100000000000065e-03	-2.315499999999999904e-04
1.866900000000000048e+01	1.000000000000000048e-04	2.000000000000000111e-01	-4.475400000000000038e-03	-2.240999999999999936e-03	-2.742399999999999764e-04
3.319899999999999807e+01	1.000000000000000048e-04	2.000000000000000111e-01	-4.637500000000000129e-03	-1.946400000000000040e-03	-3.038499999999999860e-04
5.903799999999999670e+01	1.000000000000000048e-04	2.000000000000000111e-01	-4.669600000000000313e-03	-1.720500000000000024e-03	-3.248799999999999930e-04
1.049899999999999949e+02	1.000000000000000048e-04	2.000000000000000111e-01	-4.602900000000000047e-03	-1.548300000000000067e-03	-3.398200000000000092e-04
1.866899999999999977e+02	1.000000000000000048e-04	2.000000000000000111e-01	-4.425400000000000340e-03	-1.446400000000000029e-03	-3.496600000000000099e-04
3.319900000000000091e+02	1.000000000000000048e-04	2.000000000000000111e-01	-4.265999999999999827e-03	-1.385699999999999909e-03	-3.563799999999999997e-04
5.903799999999999955e+02	1.000000000000000048e-04	2.000000000000000111e-01	-4.126499999999999960e-03	-1.331799999999999954e-03	-3.603899999999999834e-04
1.049900000000000091e+03	1.000000000000000048e-04	2.000000000000000111e-01	-4.002699999999999661e-03	-1.279299999999999925e-03	-3.627799999999999927e-04
1.866900000000000091e+03	1.000000000000000048e-04	2.000000000000000111e-01	-3.951699999999999831e-03	-1.232999999999999938e-03	-3.634099999999999917e-04
3.319900000000000091e+03	1.000000000000000048e-04	2.000000000000000111e-01	-3.943099999999999730e-03	-1.192099999999999974e-03	-3.629500000000000131e-04
5.903800000000000182e+03	1.000000000000000048e-04	2.000000000000000111e-01	-3.931099999999999872e-03	-1.155299999999999947e-03	-3.614499999999999766e-04
